Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 3,Autumn 1,"Introductions","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 3,Autumn 2,"Introductions","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 3,Spring 1,"The family","Speaking skills, spelling","Number names, counting vocabulary","Family and culture"
Year 3,Spring 2,"The family","Speaking skills, spelling","Number names, counting vocabulary","Family and culture"
Year 3,Summer 1,"Body parts","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 3,Summer 2,"Body parts","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 4,Autumn 1,"Numbers 1-15","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 4,Autumn 2,"Numbers 1-15","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 4,Spring 1,"Me and my family","Speaking skills, spelling","Number names, counting vocabulary","Discussing families"
Year 4,Spring 2,"Me and my family","Speaking skills, spelling","Number names, counting vocabulary","Discussing families"
Year 4,Summer 1,"Body parts","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 4,Summer 2,"Body parts","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 5,Autumn 1,"France and French landmarks","Speaking skills, spelling","Number names, counting vocabulary","Perseverance"
Year 5,Autumn 2,"France and French landmarks","Speaking skills, spelling","Number names, counting vocabulary","Perseverance"
Year 5,Spring 1,"Hobbies and interests","Speaking skills, spelling","Number names, counting vocabulary","Thoughts and opinions"
Year 5,Spring 2,"Hobbies and interests","Speaking skills, spelling","Number names, counting vocabulary","Thoughts and opinions"
Year 5,Summer 1,"Colours","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 5,Summer 2,"Colours","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 6,Autumn 1,"Me and my family","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 6,Autumn 2,"Me and my family","Speaking skills, spelling","Number names, counting vocabulary","Building confidence"
Year 6,Spring 1,"Hobbies and interests","Speaking skills, spelling","Number names, counting vocabulary","Thoughts and opinions"
Year 6,Spring 2,"Hobbies and interests","Speaking skills, spelling","Number names, counting vocabulary","Thoughts and opinions"
Year 6,Summer 1,"Colours","Speaking skills, spelling","Number names, counting vocabulary","Culture in France"
Year 6,Summer 2,"Colours","Speaking skills, spelling","Number names, counting vocabulary","Culture in France"
Year 7,Autumn 1,"Greeting, Alphabet, Numbers, Ages","Conversation skills","Numbers, months, dates","Opportunities to be inquisitive"
Year 7,Autumn 2,"Greeting, Alphabet, Numbers, Ages","Conversation skills","Numbers, months, dates","Opportunities to be inquisitive"
Year 7,Spring 1,"Classroom objects and instructions","Adjectives, definite and indefinite article","Counting and estimating","Recognising & accepting difference & diversity"
Year 7,Spring 2,"Classroom objects and instructions","Adjectives, definite and indefinite article","Counting and estimating","Recognising & accepting difference & diversity"
