Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 1,Autumn 1,"Place Value within 20","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 1,Autumn 2,"Addition and Subtraction within 10, Shape","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 1,Spring 1,"Addition and Subtraction within 20","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 1,Spring 2,"Place Value within 50, Length, Height, Weight and Volume","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 1,Summer 1,"Multiplication and Division","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 1,Summer 2,"Fractions, Position and Direction, Place Value within 100, Money & Time","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 2,Autumn 1,"Place Value, Addition and Subtraction","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 2,Autumn 2,"Money","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 2,Spring 1,"Multiplication and Division, Statistics","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
Year 2,Spring 2,"Geometry: Properties of Shape, Fractions","Understanding key words/vocabulary, comprehension skills when reading problems.","Recognising Maths is in the world around them, developing reasoning and problem solving skills, applying their knowledge of place value to all concepts in Maths.","Problem Solving, Teamwork, Resilience, deep thinking, listening skills, applying their understanding to the world around them"
