Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 1,Autumn 1,"Core Skills, Swimming & Water Safety","Listening and learning PE rules and routines.","Basic counting, knowing the lines and cones using, patterns of organisation and play.","Enjoyment in learning with others, working alongside others and learning routines."
Year 1,Autumn 2,"Core Skills, Gymnastics","Watching performances and saying (know) what was good about them.","Patterns and repetitions of performance.","Increasing knowledge and understanding of how the body moves. Learning how to work with others who have different skills and viewpoints."
Year 1,Spring 1,"Core Skills, Swimming & Water Safety","Watching performances and saying (know) what was good about them.","Patterns and repetitions of performance. Using music and time.","Learn and express the link between feelings and movement."
Year 1,Spring 2,"Core Skills, Dance","Learning key language and vocab used in team games.","Learning key vocabulary in games.","Working together, helping others and try your best."
Year 1,Summer 1,"Core Skills, Team Games","Learning and familiarisation with keywords","Knowing the beginning and end of a race (distance).","Learning and playing cultural games."
Year 1,Summer 2,"Core Skills, Swimming & Water Safety","Knowing when something is successful","Knowing when something is successful.","Knowing when something is successful."
Year 2,Autumn 1,"Core Skills, Swimming & Water Safety","Listening and learning PE rules and routines.","Basic counting, knowing the lines and cones using, patterns of organisation and play.","Enjoyment in learning with others, working alongside others and learning routines."
Year 2,Autumn 2,"Core Skills, Gymnastics","Watching performances and identifying what was good about them. Listening to others.","Patterns and repetitions of performance.","Increasing knowledge and understanding of how the body moves. Learning how to work with others who have different skills and viewpoints."
Year 2,Spring 1,"Core Skills, Swimming & Water Safety","Watching performances and saying (know) what was good about them.","Patterns and repetitions of performance. Using music and time.","Learn and express feelings and emotions through movement."
Year 2,Spring 2,"Core Skills, Dance","Learning key language and vocab used in team games.","Learning key vocabulary in games.","Working together, helping others and try your best."
Year 2,Summer 1,"Core Skills, Team Games","Learning and familiarisation with keywords","Knowing the beginning and end of a race (distance).","Learning and playing cultural games."
Year 2,Summer 2,"Core Skills, Swimming & Water Safety","Knowing when something is successful","Knowing when something is successful.","Knowing when something is successful."
Year 3,Autumn 1,"Core Skills, Swimming & Water Safety","Listening and learning PE rules and routines.","Basic counting, knowing the lines and cones using, patterns of organisation and play.","Enjoyment in learning with others, working alongside others and learning routines."
Year 3,Autumn 2,"Core Skills, Gymnastics","Watching performances and identifying what was good about them. Listening to others.","Patterns and repetitions of performance.","Increasing knowledge and understanding of how the body moves. Learning how to work with others who have different skills and viewpoints."
Year 3,Spring 1,"Core Skills, Swimming & Water Safety","Watching performances and saying (know) what was good about them.","Patterns and repetitions of performance. Using music and time.","Learn and express feelings and emotions through movement."
Year 3,Spring 2,"Core Skills, Dance","Learning key language and vocab used in team games.","Learning key vocabulary in games.","Working together, helping others and try your best."
Year 3,Summer 1,"Core Skills, Team Games","Learning and familiarisation with keywords","Knowing the beginning and end of a race (distance).","Learning and playing cultural games."
Year 3,Summer 2,"Core Skills, Swimming & Water Safety","Knowing when something is successful","Knowing when something is successful.","Knowing when something is successful."
Year 4,Autumn 1,"Core Skills, Swimming & Water Safety","Listening and learning PE rules and routines.","Basic counting, knowing the lines and cones using, patterns of organisation and play.","Enjoyment in learning with others, working alongside others and learning routines."
Year 4,Autumn 2,"Core Skills, Gymnastics","Watching performances and identifying what was good about them. Listening to others.","Patterns and repetitions of performance.","Increasing knowledge and understanding of how the body moves. Learning how to work with others who have different skills and viewpoints."
Year 4,Spring 1,"Core Skills, Swimming & Water Safety","Watching performances and saying (know) what was good about them.","Patterns and repetitions of performance. Using music and time.","Learn and express feelings and emotions through movement."
Year 4,Spring 2,"Core Skills, Dance","Learning key language and vocab used in team games.","Learning key vocabulary in games.","Working together, helping others and try your best."
Year 4,Summer 1,"Core Skills, Team Games","Learning and familiarisation with keywords","Knowing the beginning and end of a race (distance).","Learning and playing cultural games."
Year 4,Summer 2,"Core Skills, Swimming & Water Safety","Knowing when something is successful","Knowing when something is successful.","Knowing when something is successful."
