Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 1/2: Cycle A,Autumn 1,"Families and relationships: Introduction, Setting ground rules for RSE & PSHE lessons, Family, Friendships, Families are all different, Other people’s feelings, Getting along with others, Friendship problems, Gender stereotypes","Spoken language (Y1) - Role-playing, collaborative conversations and problem solving together. Spoken language (Y2) - having collaborative conversations to solve problems, knowing when to use manners. Reading (Y2) - considering fictional families and comparing to their own, making inferences about characters’ emotions.","Statistics (Y2) - Venn diagrams for sorting.","Experience sense of belonging, Understanding the value of relationships, Recognising and accepting difference and diversity, Promoting equality and diversity, Fostering a sense of community."
Year 1/2: Cycle A,Autumn 2,"Health and wellbeing: Understanding my feelings; Relaxation – laughter and progressive muscle relation; What am I like?; Ready for bed?; Handwashing and personal hygiene; Sun safety; Allergies; People who help us stay healthy","Reading (Y1) - inference, discussing how characters feel; Spoken language (Y1)- building vocabulary around emotions; Writing (Y1) - creating a book about those who keep us healthy","Statistics (Y2) - Venn diagrams for sorting.","Encourage self-awareness; Encouraging pupils to work cooperatively; Opportunities for personal enrichment through cultural experiences."
Year 1/2: Cycle A,Spring 1,"Safety and the changing body: Communicating with adults; People who help to keep us safe in our local community; Road safety; Safety with medicines; Making a call to the emergency services; The difference between secrets and surprises; Appropriate contact; My private parts are private.","Spoken language (Y1) - considering how to communicate with adults, practising conversations, role-playing situations; Spoken language (Y2) - Role-playing crossing the road","Understanding sequences and steps in safety procedures; Recognising patterns in safe behavior.","Encouraging personal safety and awareness; Understanding the importance of online safety and emergency procedures; Recognising trusted adults and personal boundaries."
Year 1/2: Cycle A,Spring 2,"Citizenship: Rules; Similar, yet different; Belonging; Job roles in the community; Our school environment; Our local environment.","Writing (Y2) - Writing a thank you letter, writing a brief description of a job, designing an information leaflet. Spoken language (Y2) - giving a speech","Understanding roles and responsibilities; Recognising patterns of unkind behavior.","Encouraging a sense of community and belonging; Promoting kindness and understanding; Understanding roles within the community."
Year 1/2: Cycle A,Summer 1,"Economic wellbeing: Money; Needs and wants; Looking after money; Banks and building societies; Jobs","Spoken language (Y1) - role-playing a visit to a bank, asking relevant questions to a visitor; Writing - write a short story about how they got some money","Measurement (Money) - (Y1) recognise the value of different coins and notes.","Encouraging financial responsibility and awareness; Understanding the importance of work and earning money; Recognising different jobs and roles in the community."
Year 1/2: Cycle A,Summer 2,"Transition: Transition and change lesson","Reading (Y1) - exploring stories about change and transition; Writing (Y1) - creating stories about new experiences; Spoken language (Y2) - discussing personal strengths and setting goals","Understanding sequences and timelines; Recognising personal growth.","Encouraging self-reflection and personal growth; Understanding and accepting change; Recognising personal achievements and setting future goals."

Year 3/4: Cycle A,Autumn 1,"Families and relationships: Introduction, Setting ground rules and signposting; Friendship issues and bullying; The effects of bullying and the responsibility of the bystander; Stereotyping – Gender; Stereotyping – Age/disability; Healthy friendships – boundaries; Learning who to trust; Respecting differences; Change and loss - bereavement","Spoken language (Y3) - working collaboratively to solve problems, role-playing, developing listening skills; Spoken language (Y4) - listening and speaking respectfully to adults role- playing how to speak to the bereaved. Writing (Y3) - writing a comic book story; Reading (Y4) - inferring characters’ feelings and motives from their actions, exploring fictional characters, researching a person","Using Venn diagrams to sort and classify family structures; Understanding the concept of percentages through friendship scenarios.","Recognising and accepting difference and diversity; Promoting equality and diversity; Fostering a sense of community."
Year 3/4: Cycle A,Autumn 2,"Health and wellbeing: My healthy diary; Diet and dental health; Relation – stretches; Wonderful me; My superpowers; Celebrating mistakes; My happiness","Reading (Y3) - recognising kenning poems and their structure, discussing a character from a story. Reading (Y4) - considering the message of a story about growth mindset, considering characters’ feelings. Writing (Y3) - writing a kenning poem about themselves. Writing (Y4) - writing a job application; Spoken language (Y4) - Creating a rap, poem or advert about keeping teeth healthy, building vocabulary around emotions","Understanding basic statistics in health contexts.","Promoting physical and mental health; Encouraging healthy living; Understanding the impact of drugs and medicines on the body."
Year 3/4: Cycle A,Spring 1,"Safety and the changing body: Be kind online; Cyberbullying; Share aware; Privacy and secrecy; First Aid: Bites and stings; Alcohol and tobacco; (Y3) First Aid Emergencies and calling for help; (Y4) Introducing puberty; (Y3) Road safety; (Y4) Growing up","Spoken language (Y3) - role playing a call to 999 and scenarios; Spoken language (Y4) - Holding a debate, having collaborative conversations","Understanding sequences of instructions; Following steps logically.","Encouraging pupils to take responsibility for their own and others' safety; Understanding the role of emergency services in society."
