Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 1,Autumn 1,"What does it mean to belong to a faith community?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 1,Autumn 2,"How and why do we celebrate special and sacred times?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 1,Spring 1,"Who is a Christian and what do they believe?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 1,Spring 2,"How can we learn from sacred books?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 1,Summer 1,"How should we care for others and the world, and why does it matter?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 1,Summer 2,"How and why do we celebrate special and sacred times? (different festival focus)","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 2,Autumn 1,"Who is a Jew and what do they believe?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 2,Autumn 2,"What makes some places sacred?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 2,Spring 1,"What does it mean to be a Christian in Britain today?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 2,Spring 2,"Why is the Bible so important for Christians today?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 2,Summer 1,"Why do people pray? Multi-faith","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 2,Summer 2,"What do different people believe about God? Hindu focus","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 3,Autumn 1,"What does it mean to be a Hindu in Britain today?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 3,Autumn 2,"What can we learn from religions about deciding what is right and wrong?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 3,Spring 1,"Why is Jesus inspiring to some people?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 3,Spring 2,"Why are festivals important to religious communities?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 3,Summer 1,"Why do some people think that life is a journey and what significant experiences mark this?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 3,Summer 2,"Why do some people think that life is a journey and what significant experiences mark this?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
Year 4,Autumn 1,"Why do some people think God exists?","Writing in full sentences using correct grammar, punctuation, and spelling. Develop vocabulary skills and the use of specialist terminology.","Times and dates in RE context.","Spiritual and cultural: Valuing different faiths and cultures. Moral: Considering others. Social: British values. Exploring how religious beliefs are derived from sources of authority."
