Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 1,Autumn 1,Everyday materials,Literacy: To be able to use descriptive words for observations. To be able to use key vocabulary related to materials.,"Numeracy: Gathering and ordering data. Compare, group, gather and record data.",How materials affect the environment they are in. Develop understanding of the world around them.
Year 1,Autumn 2,Seasonal Change – Autumn/Winter,Literacy: To be able to use descriptive words for observations.,"Numeracy: Compare data, including length of days.",Develop understanding of the world around them.
Year 1,Spring 1,"Animals, including humans",Literacy: To be able to use descriptive words for observations. Be able to name common animals and body parts.,Numeracy: Being able to identify and classify.,How should we treat and care for non-human animals. Develop understanding of the world around them.
Year 1,Spring 2,Seasonal Change - Spring,Literacy: To be able to use descriptive words for observations.,"Numeracy: Compare data, including length of days.",Develop understanding of the world around them.
Year 1,Summer 1,Plants,Literacy: To be able to use descriptive words for observations. To become familiar with common plant/tree names.,"Numeracy: Sort, group and classify. Make comparisons over time.",Develop understanding of the world around them.
Year 1,Summer 2,Seasonal Change - Summer,Literacy: To be able to use descriptive words for observations.,"Numeracy: Compare data, including length of days.",Develop understanding of the world around them.
Year 2,Autumn 1,Animals including humans,Literacy: To be able to use descriptive words for observations. Use appropriate questioning.,"Numeracy: Gather and compare data, measurements of growth over time.","Understand the basic needs animals, including humans, need for survival and how to stay healthy."
Year 2,Autumn 2,Animals including humans,Literacy: To be able to use descriptive words for observations. Use appropriate questioning.,"Numeracy: Gather and compare data, measurements of growth over time.","Understand the basic needs animals, including humans, need for survival and how to stay healthy."
Year 2,Spring 1,Living things and their habitats,"Literacy: To be able to use descriptive words for observations. Raise and answer questions. Use key vocabulary, specifically ‘habitat’.",Numeracy: Sort and classify data.,"Understand the differences between things that are living, dead, and things that have never been alive."
Year 2,Spring 2,Plants,"Literacy: To be able to use descriptive words for observations. Raise and answer questions. Use key vocabulary, specifically ‘habitat’.",Numeracy: Sort and classify data.,"Understand the differences between things that are living, dead, and things that have never been alive."
Year 2,Summer 1,Uses of everyday materials,Literacy: To be able to use descriptive words for observations. Contribute to discussions and ask appropriate questions.,"Numeracy: Identify, classify and record observations. Compare shapes.",Understand the use of different materials in everyday life.
Year 2,Summer 2,Uses of everyday materials,Literacy: To be able to use descriptive words for observations. Contribute to discussions and ask appropriate questions.,"Numeracy: Identify, classify and record observations. Compare shapes.",Understand the use of different materials in everyday life.
Year 3,Autumn 1,Light,Literacy: To be able to use descriptive words for observations. To read and spell scientific vocabulary correctly.,"Numeracy: Enter data into a table, measure and compare data.",To recognise that light from the sun can be dangerous and that there are ways to protect their eyes.
Year 3,Autumn 2,Rocks,Literacy: To be able to use descriptive words for observations. Raise and answer questions.,Numeracy: Compare and group data. Observe change over time.,Develop understanding of the changes that occur in the world around them.
Year 3,Spring 1,Forces and Magnets,Literacy: To be able to use descriptive words for observations. Use scientific vocabulary correctly.,"Numeracy: Enter data into a table, sort and compare.",Develop appreciation of the invisible forces that are present in the world around them.
Year 3,Spring 2,Plants,Literacy: To be able to use descriptive words for observations. Use scientific vocabulary correctly.,"Numeracy: Enter data into a table, sort and compare.",Develop appreciation of the invisible forces that are present in the world around them.
Year 3,Summer 1,Animals including humans,Literacy: To be able to use descriptive words for observations. Draw and annotate diagrams.,"Numeracy: Observe life cycle over time, look for patterns in data.",Understand the requirements of plants for life and growth.
Year 3,Summer 2,Animals including humans,Literacy: To be able to use descriptive words for observations. Use key vocabulary related to nutrition and name body parts associated with the skeleton and muscles.,"Numeracy: Identify, group and compare data.",Understand the importance of good nutrition and that we source food from our environment.
Year 4,Autumn 1,Animals including humans,"Literacy: To be able to use descriptive words for observations. Use key vocabulary related to the digestive system of humans, and teeth.",Numeracy: Record and compare data.,Understand the role of different body parts.
Year 4,Autumn 2,Electricity,Literacy: To be able to use descriptive words for observations. Use terms ‘voltage’ and ‘current’ correctly. Draw a pictorial representation of a circuit.,Numeracy: Observe patterns in data.,Understand the role of electricity in everyday objects and how these help in a variety of ways. Understand the dangers of electricity.
Year 4,Spring 1,Sound,Literacy: To be able to use descriptive words for observations. Use key vocabulary associated with ears and sound correctly. Record data.,Numeracy: Compare and find patterns in data.,Understand the importance of hearing for safety and communications. Recognise there are people in society with impaired hearing. Music – different instruments used in different cultures.
Year 4,Spring 2,Sound,Literacy: To be able to use descriptive words for observations. Use key vocabulary associated with ears and sound correctly. Record data.,Numeracy: Compare and find patterns in data.,Understand the importance of hearing for safety and communications. Recognise there are people in society with impaired hearing. Music – different instruments used in different cultures.
