Year,Term,Area_of_study,Literacy_focus,Numeracy_focus,SMSC
Year 1,Autumn 1,Portraits,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 1,Autumn 2,Portraits,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 1,Spring 1,Investigating materials,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 1,Spring 2,Investigating patterns,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 1,Summer 1,Looking at buildings,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 1,Summer 2,Looking at buildings,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 2,Autumn 1,Fantasy Sculpture,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 2,Autumn 2,Fantasy Sculpture,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 2,Spring 1,Island Sculpture,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 2,Spring 2,Island Sculpture,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 2,Summer 1,Natural ephemera,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 2,Summer 2,Natural ephemera,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 3,Autumn 1,Investigating patterns,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 3,Autumn 2,Investigating patterns,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 3,Spring 1,Bronze/Iron age,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 3,Spring 2,Bronze/Iron age,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 3,Summer 1,Ancient Greeks,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 3,Summer 2,Ancient Greeks,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 4,Autumn 1,Roman Gladiators,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 4,Autumn 2,Roman Gladiators,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 4,Spring 1,Ancient Egypt,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 4,Spring 2,Ancient Egypt,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 4,Summer 1,Mountain Landscapes,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 4,Summer 2,Mountain Landscapes,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 5,Autumn 1,Still life,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 5,Autumn 2,Still life,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 5,Spring 1,Viking sagas,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 5,Spring 2,Viking sagas,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 5,Summer 1,Pointillism,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 5,Summer 2,Pointillism,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 6,Autumn 1,Mayan artwork,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 6,Autumn 2,Mayan artwork,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 6,Spring 1,Pirates,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 6,Spring 2,Pirates,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 6,Summer 1,People,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 6,Summer 2,People,To record observations about artwork using writing methods.,Investigating shapes through art work.,Expressing emotions through artwork.
Year 7,Autumn 1,"Drawing: Drawing, application of tone, general shading techniques.",Understand a range of artistic terms.,Understand proportion and scale.,Pupils support each other in a variety of projects to enhance team working skills.
Year 7,Autumn 2,"Clay work: Transferring an image to clay, rolling cutting and joining techniques.",Understand a range of artistic terms. Record observations.,Measuring.,Pupils ask questions about art and communicate their ideas and feelings.
Year 7,Spring 1,"Recycled Art: Translating a design into a finished artwork, joining techniques, finishing. Artist study Tony Cragg",Understand a range of artistic terms. Record observations.,Measuring.,Pupils support each other in a variety of projects to enhance team working skills.
Year 7,Spring 2,"Introduction to carving:  Inuit artwork, soap carving, carving techniques, undercuts.",Understand a range of artistic terms. Record observations.,Proportion.,"Pupils identify how beliefs, values and meanings are expressed and shared through art."
Year 7,Summer 1,The Living World: Ernst Heackel and David Doubilet art inspired by the natural world.,Understand a range of artistic terms. Record observations.,N/A,Pupils reflect on nature of  their environment and surroundings.
Year 7,Summer 2,"Rural Landscapes: Van Gogh, landscape painting",Understand a range of artistic terms. Record observations.,N/A,Pupils give an opinion of the work of others with a justification for their view.
