id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
2,Art,Year 7,Drawing,Explore the use of line and pattern in the creation of tonal work.,,,,,,,,,,,"To experience a wide range of media, tools and techniques and experiment with materials, images and ideas.",Modify and refine work as it progresses and express ideas and opinions through appropriate use of art vocabulary.,Develop colour mixing particularly the making of tertiary flesh tones.,,,,,,,
3,Computing,Year 7,Impact of Technology:,Recognise a respectful email.,,,,,,,,,,,Construct an effective email and send it to the correct recipients.,Describe how to communicate with peers online.,Plan effective presentations for a given audience.,,,,,,,
4,English,Year 7,Baseline Reading and Writing,The Viewer – Y6-7 transition text: Developing Visual Literacy.,,,,,,,,,,,Sequence of plots. Annotation,Inferring meaning.,Developing analytical skills.,,,,,,,
5,Food Technology,Year 7,"Food and Science Identify hazards that occur in a kitchen."" Describe how to reduce hazards."" Explain how to prepare for a practical with consideration to personal safety."" Demonstrate knife safety."" Use a sharp knife",,,,,,,,,,,,,,,,,,,,,
6,MFL,Year 7,"Greetings. Alphabet."" Numbers."" Ages."" To learn basic facts about France and some French-speaking countries."" To greet people",,,,,,,,,,,,,,,,,,,,,
7,Maths,Year 7,"Number. Recall times tables."" BIDMAS."" Place value."" Multiply numbers by single digit."" Add and subtract numbers with up to 4 digits."" Square numbers."" Cube numbers."" Negative numbers on scales."" Four rules with negatives."" Short division."" Factors."" Long multiplication and division."" Rounding."" Prime numbers."" Multiply and divide by powers of 10.",,,,,,,,,,,,,,,,,,,,,
8,Geography,Year 7,"Introduction to Geography. Our Place in The World."" Understand that Geography is the study of the Earth and is divided into physical and human geography."" Know the difference between the British Isles",,,,,,,,,,,,,,,,,,,,,
9,History,Year 7,"What is history?/ The Romans. When the Romans invaded and why."" How the Roman Army was structured and trained."" Why people such as Boudicca rebelled."" Aspects of everyday Roman life (Towns",,,,,,,,,,,,,,,,,,,,,
10,Physical Education,Year 7,"Multi Skills and Games Pupils will learn to use basic principles of play when selecting and applying tactics for defending and attacking."" Passing",,,,,,,,,,,,,,,,,,,,,
11,Swimming,Year 7,"Swimming – Front Crawl, Back Stroke, Breast Stroke, push and gliding. Pupils will develop knowledge of Body action",,,,,,,,,,,,,,,,,,,,,
12,PSHE,Year 7,Transition and safety. Learn how to identify,,,,,,,,,,,,,,,,,,,,,
13,Citizenship,Year 7,"What is citizenship? What is active citizenship?"" How can we participate in school and the wider community?",,,,,,,,,,,,,,,,,,,,,
14,RE,Year 7,"Who am I? To understand the difference between fact and belief. To be able to express their own beliefs and listen to the views of others."" To be able to define the key terms for the topic."" To have a basic understanding of the makeup of British society in the 21st Century.",,,,,,,,,,,,,,,,,,,,,
15,Science,Year 7,"Cells. Ask scientific questions."" Plan a scientific investigation",,,,,,,,,,,,,,,,,,,,,
16,Resistant Materials,Year 7,"Key Fob Resistant Materials and workshop safety. To understand and know the range of resistant materials."" To understand the different properties of a range of resistant materials."" To understand and demonstrate good workshop safety practice.",,,,,,,,,,,,,,,,,,,,,
17,Art,Year 8,"Mask Making Use individual research of a culture to inform a mask design."" Use and develop 2D design work to make a 3D piece using appropriate skills to manipulate materials effectively."" Use previous knowledge about the proportions of the face to inform my mask design.",,,,,,,,,,,,,,,,,,,,,
18,Computing,Year 8,Media- Vector graphics:,"Draw basic shapes (rectangle, ellipse, polygon, star) with different properties (fill and stroke, shape-specific attributes).",,,,,,,,,,,"Manipulate individual objects (select, move, resize, rotate, duplicate, flip, z-order).","Manipulate groups of objects (select, group/ungroup, align, distribute).","Combine paths by applying operations (union, difference, intersection).",,,,,,,
19,English,Year 8,"Baseline Assessment. AR Tests (3 weeks)"" Gothic Horror – study of extracts Mary Shelley (Author Study)."" Appreciation of the influence of social and historical elements on the Pre 1914 novel."" Understanding and being able to use the conventions and characteristics of the gothic genre."" Analysing language and how it creates a deliberate effect on the reader."" Creating tension in the reader through structural and language devices."" Creating atmospheric descriptions of setting and vivid descriptions of characters."" Understanding the structural techniques writers use in their storytelling and using these structural devices in pupils’ storytelling."" Analysis of gothic poetry.",,,,,,,,,,,,,,,,,,,,,
20,Food Technology,Year 8,"Eatwell Guide Develop knife cutting skills using the bridge and claw method."" Understand why we eat food- macro nutrients and micro nutrients."" Application of the Eatwell guide in making food choices."" Cereals – producing practical outcomes using different cereals.",,,,,,,,,,,,,,,,,,,,,
21,MFL,Year 8,"Sports and Hobbies. Naming sports and hobbies."" To be able to use jouer + à with sports in the present tense."" To be able to use faire + de with sports and hobbies in the present tense."" To be able to describe what sports and hobbies other people do using il and elle and ils and elles."" To be able to say what you use the internet for using regular er verbs."" To be able to use adverbs of frequency eg quelquefois",,,,,,,,,,,,,,,,,,,,,
22,Maths,Year 8,"Number. Recall Times tables."" Bidmas."" Place value."" Multiply numbers by single digit."" Add and subtract numbers with up to 4 digits."" Square numbers."" Cube numbers."" Negative numbers on scales."" 4 rules with negatives."" Short division."" Factors."" Long multiplication and division."" Rounding."" Prime numbers."" Multiply and divide by powers of 10.",,,,,,,,,,,,,,,,,,,,,
23,Geography,Year 8,"Coasts. Give examples of human and physical processes that shape the coastline."" Know that waves are caused by wind."" That wind strength",,,,,,,,,,,,,,,,,,,,,
24,History,Year 8,"The Tudors. How the Henry Tudor came to power and kept control after Richard III."" Henry VIII’s personality and his impact upon the Church."" How each of Henry’s children ruled England."" Evaluate and compare sources and interpretations."" Explain the place of the Tudors in British history."" Explain the impact of the Reformation on Britain.",,,,,,,,,,,,,,,,,,,,,
25,Physical Education,Year 8,"Games and Fitness. Pupils will further develop the fundamental principles of play when selecting and applying tactics for defending and attacking."" Passing",,,,,,,,,,,,,,,,,,,,,
26,Swimming,Year 8,"Front crawl, Back stroke, Breaststroke, Body action, Leg action, Arm action, Breathing, Timing, push and gliding. Pupils will learn these skills to develop performance of different swimming strokes.",,,,,,,,,,,,,,,,,,,,,
27,PSHE,Year 8,"Drugs and Alcohol. Learn about medicinal and recreational drugs."" Learn about the over-consumption of energy drinks."" Learn about the relationship between habit and dependence.",,,,,,,,,,,,,,,,,,,,,
28,Citizenship,Year 8,Global citizenship. What are Global issues? Can we influence Global issues? What are the different views about Global issues?,,,,,,,,,,,,,,,,,,,,,
29,RE,Year 8,"Is death the end? To consider a number of different views and present their own both verbally and in writing. To understand beliefs and teachings."" Present the key teachings and beliefs of the religions studied.",,,,,,,,,,,,,,,,,,,,,
30,Science,Year 8,"Health and Lifestyle. Describe nutrients and their roles in the body."" Carry out chemical food tests."" Describe the structure and function of the digestive system."" Describe the role of enzymes in digestion."" Describe the effects on health of drugs",,,,,,,,,,,,,,,,,,,,,
31,Resistant Materials,Year 8,"Knowledge of materials and ingredients. To Master Practical Skills."" To Design and Evaluate."" Take Inspiration from other sources."" Mobile Phone Project Design: To use research and exploration",,,,,,,,,,,,,,,,,,,,,
93,Art,Year 9,"Papier Mache heads Closely observe an image of half of my face and reproduce it in reverse."" Sculpt a representation of a head in papier mache.",,,,,,,,,,,,,,,,,,,,,
94,Computing,Year 9,Python Programming Write programs that display messages,"Explain the need for the Data Protection Act. Recognise how human errors pose security risks to data."" Implement strategies to minimise the risk of data being compromised through human error."" Define hacking in the context of cyber security."" Explain how a DDoS attack can impact users of online services."" Identify strategies to reduce the chance of a brute force attack being successful."" Explain the need for the Computer Misuse Act."" Physical Computing: Describe what the micro:bit is and list the micro:bit’s input and output devices."" Use a development environment to write",,,,,,,,,,,,,,,,,,,,
95,English,Year 9,Stone Cold – Robert Swindells Baseline Assessment,,,,,,,,,,,,,,,,,,,,,
96,Food Technology,Year 9,"Eatwell Guide &amp; Healthy Eating: Understand food choices from around the world. Using ingredients &amp; spices from around the world."" How to use a pasta machine-making fresh pasta."" Eatwell guide and Healthy Eating Guidelines."" Use of electrical equipment – food processor",,,,,,,,,,,,,,,,,,,,,
97,MFL,Year 9,"Countries -Holiday activities: To say what country I and others live in and where I and others go on holiday. To say what the weather is like in different countries."" To know je and nous form of present tense key irregular verbs in the present tense."" To know how to conjugate regular er verbs with all pronouns in the present tense and say what activities I and others do on holiday.",,,,,,,,,,,,,,,,,,,,,
