"1","Computing","Year 1","Autumn 1","Technology around us","Listening for meaning in non-fiction texts","Ordering numbers","Impact of technology on society"
"2","Computing","Year 1","Autumn 2","Digital painting","Describing images","Shapes","Expressing emotions and feelings"
"3","Computing","Year 1","Spring 1","Moving a robot","Instructions","Small numbers","Using technology responsibly"
"4","Computing","Year 1","Spring 2","Grouping data","Explaining thoughts","Grouping by criteria","Sharing information with others in a constructive way"
"5","Computing","Year 1","Summer 1","Digital writing","Writing simple words","Counting","Communication with others"
"6","Computing","Year 1","Summer 2","Programming animations","Sequencing","Logic","Representing diversity in animations"
"7","Computing","Year 2","Autumn 1","Information technology around us","Listening for meaning in non-fiction texts","Ordering numbers","Digital divide"
"8","Computing","Year 2","Autumn 2","Digital photography","Describing images","Shapes","Personal choices"
"9","Computing","Year 2","Spring 1","Robot algorithms","Describing and explaining concepts","Sequencing","Using technology responsibly"
"10","Computing","Year 2","Spring 2","Pictograms","Writing explanation texts","Graphs and charts","Sharing information with others in a constructive way"
"11","Computing","Year 2","Summer 1","Making music","Creating sequences","Time calculations","Using art to communicate emotions"
"12","Computing","Year 2","Summer 2","Programming quizzes","Writing questions and answers","Logic","Making games accessible to all"
"13","Computing","Year 3","Autumn 1","Connecting computers","Listening for meaning in non-fiction texts. Explaining ideas","Ordering numbers","Communicating safely"
"14","Computing","Year 3","Autumn 2","Stop-frame animation","Creating and following a storyboard. Using direct speech","Time calculations","Representing diversity in animations"
"15","Computing","Year 3","Spring 1","Sequencing sounds","Creating sequences","Time calculations","Using art to communicate emotions"
"16","Computing","Year 3","Spring 2","Branching databases","Writing explanation texts","Graphs and charts","Sharing information with others in a constructive way"
"17","Computing","Year 3","Summer 1","Desktop publishing","Creating non-fiction texts to clearly communicate a message","Measurements","Responsibility to represent data accurately"
"18","Computing","Year 3","Summer 2","Events and actions in programs","Describing and explaining concepts. Sequencing","Logic and adding","Using technology to communicate a message honestly"
"19","Computing","Year 4","Autumn 1","The Internet","Reading for meaning, non-fiction texts","Understanding large numbers","Safe communication and respecting differences"
"20","Computing","Year 4","Autumn 2","Audio editing","Creating and reading scripts","Time calculations","Respectfully expressing emotions in art"
"21","Computing","Year 4","Spring 1","Repetition in shapes","Describing pictures","Shapes and angles","Understand the impact algorithms can have"
"22","Computing","Year 4","Spring 2","Data logging","Writing explanation texts","Graphs and charts","Respecting privacy when collecting data"
"23","Computing","Year 4","Summer 1","Photo editing","Reading and understanding instructions","x and y co-ordinates","Responsibility to represent data accurately"
"24","Computing","Year 4","Summer 2","Repetition in games","Describing and explaining concepts","Logic and adding","Respecting other's ownership of work"
"25","Computing","Year 5","Autumn 1","Sharing information","Reading for meaning, non-fiction texts","Understanding large numbers","Safe communication and respecting differences"
"26","Computing","Year 5","Autumn 2","Video editing","Creating and reading scripts","Time calculations","Communicating respectfully"
"27","Computing","Year 5","Spring 1","Selection in physical computing","Describing and explaining concepts","Logic and adding","Respecting other's ownership of work"
"28","Computing","Year 5","Spring 2","Flat-file databases","Exploring non-fiction texts","Types of numbers","Understand the impact that algorithms can have"
"29","Computing","Year 5","Summer 1","Vector drawing","Reading and understanding instructions","x and y co-ordinates","Respecting privacy when collecting data"
"30","Computing","Year 5","Summer 2","Selection in quizzes","Writing questions and answers","Logic","Responsibility to represent data accurately"
"31","Computing","Year 6","Autumn 1","Internet communication","Reading for meaning, non-fiction texts","Understanding large numbers","Safe communication and respecting differences opinions"
"32","Computing","Year 6","Autumn 2","Webpage creation","Writing for meaning, non-fiction texts","Understanding large numbers","Communicating respectfully"
"33","Computing","Year 6","Spring 1","Variables in games","Describing and explaining concepts","Logic and arithmetic","Safe communication and respecting differences opinions"
"34","Computing","Year 6","Spring 2","Introduction to spreadsheets","Exploring non-fiction texts","Types of numbers","Communicating respectfully"
"35","Computing","Year 6","Summer 1","3D modelling","Reading and understanding instructions","Charts and graphs","Understand the need for accessibility in games"
"36","Computing","Year 6","Summer 2","Sensing","Describing and explaining concepts","Logic and adding","Respecting privacy when collecting data"
"37","Computing","Year 7","Autumn 1","Impact of technology – Collaborating online respectfully","Persuasive texts, precise writing, non fiction writing, writing for meaning","Statistics and presenting data","Online bullying- Online relationships- Privacy and security"
"38","Computing","Year 7","Autumn 2","Using computers to present information to a specific audience","Communion skills","Number bases","Privacy and security"
"39","Computing","Year 7","Spring 1","Networks from semaphores to the Internet","Persuasive texts, reading for meaning","Shapes and proportions","Copyright and ownership- Managing online information"
"40","Computing","Year 7","Spring 2","Protocols and hardware Wired and wireless networks","Precise writing and writing instructions","Logic and operations","The affect that computer programs can have on individuals"
"41","Computing","Year 7","Summer 1","Using media – Gaining support for a cause","Precise writing and writing instructions Editing","Logic and operations","The affect that computer programs can have on individuals"
